songID, songName, artistID, albumID, songMinutes, songSeconds, songTotalSeconds
1, "Florida!!!", 1, 1, 3, 35, 215
2, "As It Was", 2, 3, 2, 47, 167
3, "vampire", 3, 4, 3, 40, 220
4, "COZY", 4, 5, 3, 30, 210
5, "Circle", 5, 6, 3, 37, 217
6, "Nonsense", 6, 7, 2, 43, 163
