albumID, albumName, artistID, releaseDate, albumImageURL, albumHours, albumMinutes, albumTotalMinutes
1, "THE TORTURED POETS DEPARTMENT", 1, 2024-04-19, album1_image_url, 1, 5, 65
2, "folklore", 1, 2020-07-24, album2_image_url, 1, 3, 63
3, "Harry's House", 2, 2022-05-20, album3_image_url, 0, 41 , 41
4, "GUTS", 3, 2023-09-08, album4_image_url, 0, 39, 39
5, "RENAISSANCE", 4, 2022-07-29, album5_image_url, 2, 48, 168
6, "Hollywood's Bleeding", 5, 2019-09-06, album6_image_url, 0, 51, 51
7, "emails i can't send fwd:", 6, 2022-07-15, album7_image_url, 0, 39, 39
